,amyklobuchar,andrewyang,berniesanders,ewarren,govbillweld,joebiden,joinrocky,kamalaharris,mikebloomberg,realdonaldtrump,senatorbennet,tomsteyer,tulsigabbard,walshfreedom
amyklobuchar,363,142,153,177,178,238,19,245,180,200,133,88,118,68
andrewyang,142,358,135,137,162,182,21,200,180,206,135,84,144,56
berniesanders,153,135,436,224,79,238,41,182,103,237,50,51,74,48
ewarren,177,137,224,386,92,274,30,243,110,184,53,61,73,50
govbillweld,178,162,79,92,587,306,11,358,384,293,331,147,175,90
joebiden,238,182,238,274,306,811,21,469,290,355,214,124,119,84
joinrocky,19,21,41,30,11,21,183,19,12,41,2,11,25,8
kamalaharris,245,200,182,243,358,469,19,745,380,292,288,134,161,86
mikebloomberg,180,180,103,110,384,290,12,380,570,292,325,140,160,79
realdonaldtrump,200,206,237,184,293,355,41,292,292,643,231,102,153,64
senatorbennet,133,135,50,53,331,214,2,288,325,231,448,111,141,65
tomsteyer,88,84,51,61,147,124,11,134,140,102,111,240,65,34
tulsigabbard,118,144,74,73,175,119,25,161,160,153,141,65,265,45
walshfreedom,68,56,48,50,90,84,8,86,79,64,65,34,45,178
