,amyklobuchar,andrewyang,berniesanders,ewarren,govbillweld,joebiden,joinrocky,kamalaharris,mikebloomberg,realdonaldtrump,senatorbennet,tomsteyer,tulsigabbard,walshfreedom
amyklobuchar,1.0,0.391,0.421,0.488,0.49,0.656,0.052,0.675,0.496,0.551,0.366,0.242,0.325,0.187
andrewyang,0.397,1.0,0.377,0.383,0.453,0.508,0.059,0.559,0.503,0.575,0.377,0.235,0.402,0.156
berniesanders,0.351,0.31,1.0,0.514,0.181,0.546,0.094,0.417,0.236,0.544,0.115,0.117,0.17,0.11
ewarren,0.459,0.355,0.58,1.0,0.238,0.71,0.078,0.63,0.285,0.477,0.137,0.158,0.189,0.13
govbillweld,0.303,0.276,0.135,0.157,1.0,0.521,0.019,0.61,0.654,0.499,0.564,0.25,0.298,0.153
joebiden,0.293,0.224,0.293,0.338,0.377,1.0,0.026,0.578,0.358,0.438,0.264,0.153,0.147,0.104
joinrocky,0.104,0.115,0.224,0.164,0.06,0.115,1.0,0.104,0.066,0.224,0.011,0.06,0.137,0.044
kamalaharris,0.329,0.268,0.244,0.326,0.481,0.63,0.026,1.0,0.51,0.392,0.387,0.18,0.216,0.115
mikebloomberg,0.316,0.316,0.181,0.193,0.674,0.509,0.021,0.667,1.0,0.512,0.57,0.246,0.281,0.139
realdonaldtrump,0.311,0.32,0.369,0.286,0.456,0.552,0.064,0.454,0.454,1.0,0.359,0.159,0.238,0.1
senatorbennet,0.297,0.301,0.112,0.118,0.739,0.478,0.004,0.643,0.725,0.516,1.0,0.248,0.315,0.145
tomsteyer,0.367,0.35,0.212,0.254,0.612,0.517,0.046,0.558,0.583,0.425,0.462,1.0,0.271,0.142
tulsigabbard,0.445,0.543,0.279,0.275,0.66,0.449,0.094,0.608,0.604,0.577,0.532,0.245,1.0,0.17
walshfreedom,0.382,0.315,0.27,0.281,0.506,0.472,0.045,0.483,0.444,0.36,0.365,0.191,0.253,1.0
